file,framerate,
010_barbara,24,
020_sandersan,25,
020a_sandersan,24,
020b_sandersan,24,
020c_sandersan,24,
030_nita-farahany,24,
040_azim-shariff,24,
050_ian-bremmer,24,
060_anne-morriss,24,
070_sixto-cancel,24,
070a_sixto-cancel,24,
080_jiaying-zhao,24,
080a_jiaying-zhao,24,
090_clementine-jacoby,24,
100_j-mase-iii,25,
110_luisa-neubauer,25,
120_nicole-rycroft,24,
122_adam-davidson,24,
124_krista-tippett,24,
126_becky-kennedy,24,
128_margaret-levi,24,
130_nicos-marcoufa,30,
132_tom-griffiths,25,
134_anindya-kundu,24,
136_david-burkus,30,
138_ramon-mendez-galain,24,
140_liv-boeree,24,
142_marcelo-menad,24,
144_george-monbiot,25,
146_yuval-noah-harari,24,
148_jessica-apotheker,25,
150_cathie-wood,24,
152_bel-trew,24,
154_bjorn-ulvaeus,25,18:03
156_jonathan-foley,24,12:09
158_michael-timms,30,11:26
160_johanna-figueira,24,9:47
162_valerie-montgomery,24,13:24
164_carole-cadwalladr,24,14:58
168_spencer-j-cox,24,12:16
170_lilly-singh,24,19:55
172_jim-hemerling,25,13:11
174_elizabeth-lyle,24,11:55
176_frances-frei,24,14:56
178_leticia-gasca,24,12:24
180_dana-kanze,30,14:38
182_casey-brown,30,8:12
184_david-burkus,24,7:20
186_ian-bremmer,24,15:27
188_luisa-neubauer,25,17:34
190_liv-boeree,24,5:57
192_yuval-noah-harari,25,14:46
301_sharif-el-mekk,24,
301a_sharif-el-mekk,24,
302_jacqueline-dibiasie,24,
303_tavares-strachan,24,
401_Atsushi_Mouri,25,
402_Atsushi_Mouri,25,
404_Atsushi_Mouri,25,
406_Atsushi_Mouri,25,
408_Atsushi_Mouri,25,
410_Atsushi_Mouri,25,
500_eileen,24,
510_misan-harriman,24,
510a_misan-harriman,24,
520_kate-kahle8m,24,
530_hailey-hardcastle,24,
540_greta-thunberg10m,24,
801_jennifer-d-sciubba,24,
802_oleksandra-matviichuk,24,
900_Atsushi_Mouri,24,
901_Atsushi_Mouri,25,
902_Atsushi_Mouri,25,
910_Atsushi_Mouri,25,
912_Atsushi_Mouri,25,
914_Atsushi_Mouri,25,
916_Atsushi_Mouri,25,
a00_Atsushi_Mouri,25,
a02_Atsushi_Mouri,25,
a03_Atsushi_Mouri,25,
