pred,A(0),E(1),I(2),N(3)
2,0.0004005368,0.0398148,0.9584987,0.001286043
2,0.0001356576,0.0009910649,0.83399,0.16488335
2,0.000103208076,0.0012681899,0.94098747,0.057641122
2,0.00011519818,0.0011536657,0.9551687,0.043562394
2,0.00012724685,0.0017317021,0.990854,0.0072870743
2,0.00010856472,0.0029465551,0.99086034,0.0060845744
2,0.00012205163,0.0015827972,0.988311,0.009984124
2,0.000108876324,0.0014454816,0.980067,0.018378595
2,9.218294e-05,0.0019209837,0.97535604,0.022630814
3,5.4932156e-05,0.00017210319,0.005965704,0.99380726
3,4.3074062e-05,0.00026031345,0.015191937,0.9845047
3,3.73223e-05,0.00034531808,0.01770937,0.981908
2,9.9029116e-05,0.0021373946,0.9878115,0.009952006
3,5.8807436e-05,0.00026289595,0.03006677,0.9696116
3,7.125174e-05,0.00036275198,0.0010018725,0.9985642
3,7.9017904e-05,0.010074269,0.48837474,0.50147194
3,4.285549e-05,0.0007240818,0.0024262955,0.99680686
3,8.921123e-05,0.0062372293,0.015523033,0.9781506
3,5.070511e-05,0.0026686587,0.010228409,0.9870522
3,4.157709e-05,0.0003535593,0.0026709968,0.9969338
3,3.891386e-05,0.00233657,0.025576824,0.9720477
3,5.131352e-05,0.00060723233,0.0016290265,0.9977124
3,4.0328843e-05,0.0011617613,0.020257788,0.9785402
2,8.711411e-05,0.0037731116,0.91401356,0.082126126
3,5.011008e-05,0.001383455,0.003455817,0.9951107
2,0.0024907687,0.10511665,0.8917655,0.00062704564
1,0.012711097,0.9761214,0.010984912,0.00018252911
2,0.030377286,0.04507863,0.8009796,0.12356449
0,0.88953835,0.104283944,0.0054097488,0.0007678973
2,0.035338078,0.41805035,0.465203,0.081408605
0,0.8270441,0.14011888,0.028205391,0.004631497
1,0.01281733,0.9722376,0.014564987,0.0003800428
0,0.45959842,0.42572612,0.113208696,0.0014668166
0,0.39914873,0.22632393,0.37366286,0.0008645304
2,0.08701373,0.38237453,0.5252806,0.0053311763
1,0.007274193,0.8562712,0.12566712,0.010787476
3,0.0005274595,0.0007899004,0.030759504,0.9679231
2,0.0014325513,0.28719455,0.6764438,0.034929108
2,0.00036242275,0.004885073,0.8314962,0.1632564
1,0.006838892,0.70791924,0.2512278,0.034014083
1,0.004126655,0.9705409,0.022605985,0.00272651
1,0.00639471,0.9819947,0.011368844,0.00024169337
0,0.9917972,0.007442342,0.0003862909,0.00037419962
1,0.015947578,0.9799392,0.0038836931,0.00022958104
2,0.00013077693,0.0012326837,0.9821492,0.01648737
1,0.0091889165,0.9843172,0.006215513,0.00027828687
0,0.99060494,0.0041283253,0.0048696008,0.00039705256
0,0.96589833,0.03356063,0.00040949558,0.00013150743
0,0.86797136,0.13128418,0.0005437432,0.00020074364
0,0.9674699,0.032086603,0.0002558661,0.00018765322
0,0.49231908,0.4695812,0.038008,9.1698785e-05
0,0.99639696,0.0030729494,0.00030090043,0.00022929008
2,0.005365662,0.39087743,0.6028492,0.00090764026
1,0.0030019684,0.6961239,0.29904643,0.0018277657
1,0.0036825468,0.973762,0.021614285,0.00094122184
1,0.0022013735,0.64863276,0.34735227,0.001813511
2,0.0004970997,0.06502692,0.62681496,0.307661
1,0.11892226,0.8742102,0.0067228586,0.00014466705
0,0.9421061,0.053805772,0.0036893473,0.00039882358
1,0.0028548618,0.8710633,0.12530258,0.00077920366
1,0.0010723536,0.61492383,0.32719174,0.056812096
2,0.000669997,0.15600786,0.8409206,0.0024014614
1,0.001277843,0.9061316,0.08933498,0.0032554322
